Label,Area,Perimeter,Circularity
1,64,77.264,0.135
2,937,123.231,0.775
3,682,96.781,0.915
4,442,80.501,0.857
5,456,81.287,0.867
6,743,102.699,0.885
7,393,74.448,0.891
8,640,101.359,0.783
9,400,78.145,0.823
10,525,88.411,0.844
11,679,105.516,0.766
12,498,90.077,0.771
13,484,82.167,0.901
14,1291,154.624,0.679
15,688,103.62,0.805
16,650,102.049,0.784
17,605,104.04,0.702
18,605,94.56,0.85
19,525,89.197,0.829
20,553,86.84,0.921
21,307,64.642,0.923
22,275,64.317,0.835
23,273,66.308,0.78
24,498,88.086,0.807
25,516,92.203,0.763
26,395,75.924,0.861
27,411,83.048,0.749
28,416,80.731,0.802
29,764,113.56,0.744
30,612,91.323,0.922
31,325,67.554,0.895
32,618,104.405,0.712
33,295,69.545,0.766
34,417,80.041,0.818
35,818,106.952,0.899
36,177,53.036,0.791
37,972,137.194,0.649
38,959,121.891,0.811
39,333,68.855,0.883
40,770,106.952,0.846
41,1526,166.231,0.694
42,463,82.167,0.862
43,618,97.336,0.82
44,365,71.441,0.899
45,678,98.122,0.885
46,465,92.989,0.676
47,386,74.123,0.883
48,544,89.752,0.849
49,389,82.167,0.724
50,394,73.567,0.915
51,340,67.649,0.934
52,505,84.849,0.881
53,1259,136.964,0.843
54,513,85.5,0.882
55,28,55.526,0.114
,554.2545455,91.12301818,
